Symbol,Name
7UP,7-UP BOTTLING PLC
ABATEX,ABA TEXTILE MILLS PLC
ABBEYBDS,ABBEY BUILDING SOCIETY PLC
ABCTRANS,ASSOCIATED BUS COMPANY PLC
ABOSELAB,ABOSELDEHYDE PLC
ABPLAST,ABPLAST PRODUCTS PLC
ACADEMY,ACADEMY PRESS PLC
ACCESS,ACCESS BANK OF NIGERIA PLC
ADSWITCH,ADSWITCH PLC
AFPRINT,AFPRINT NIGERIA PLC
AFRIK,AFRIK PHARMACEUTICALS PLC
AFRINSURE,AFRICAN ALLIANCE INSURANCE COMPANY PLC
AFRIPRUD,AFRICA PRUDENTIAL REGISTRARS PLC
AFROIL,AFROIL PLC
AFROMEDIA,AFROMEDIA PLC
AFRPAINTS,AFRICAN PAINTS (NIG) PLC
AGLEVENT,A.G.LEVENTIS(NIGERIA) PLC
AIICO,AIICO INSURANCE PLC
AIRSERVICE,AIRLINE SERVICES AND LOGISTICS PLC
ALEX,ALUMINIUM EXTRUSION INDUSTRIES
ALUMACO,ALUMINIUM MAN. CO. PLC
ANINO,ANINO INTERNATIONAL PLC
ARBICO,ARBICO PLC
ASHAKACEM,ASHAKA CEMENT
ASOSAVINGS,ASO SAVINGS & LOANS PLC
AUSTINLAZ,AUSTINLAZ COMPANY PLC
AVONCROWN,AVON CROWNCAPS & CONTAINERS(NIG) PLC
BAGCO,NIGERIAN BAGS MANUFACTURING COMPANY PLC
BCN,BCN PLC
BECOPETRO,BECO PETROLEUM PRODUCT PLC
BERGER,BERGER PAINTS NIGERIA PLC
BETAGLAS,BETA GLASS COMPANY (NIG) PLC
BIGTREAT,BIG TREAT PLC
BOCGAS,B.O.C GASES NIGERIA PLC
CADBURY,CADBURY PLC
CAP,CAP PLC
CAPALBETO,CAPPA & D' ALBERTO PLC
CAPHOTEL,CAPITAL HOTEL PLC
CAPOIL,CAPITAL OIL PLC
CCNN,CEMENT COMPANY OF NORTHERN NIGERIA
CHAMPION,CHAMPION BREWERIES
CHAMS,CHAMS PLC
CHELLARAM,CHELLARAMS PLC
CILEASING,C & I LEASING PLC
CONFDINS,CONFIDENCE INSURANCE PLC
CONOIL,CONOIL PLC
CONTINSURE,CONTINENTAL REINSURANCE PLC
CORNERST,CORNERSTONE INSURANCE PLC
COSTAIN,COSTAIN WEST AFRICA PLC
COURTVILLE,COURTVILLE INVESTMENTS PLC
CRUSADER,CRUSADER INSURANCE PLC
CUSTODYINS,CUSTODIAN AND ALLIED INSURANCE PLC
CUTIX,CUTIX PLC
DAARCOMM,DAAR COMMUNICATIONS PLC
DANGCEM,DANGOTE CEMENT PLC
DANGFLOUR,DANGOTE FLOUR MILLS PLC
DANGSUGAR,DANGOTE SUGAR REFINERY PLC
DEAPCAP,DEAP CAPITAL MANAGEMENT & TRUST PLC
DIAMONDBNK,DIAMOND BANK PLC
DNMEYER,DN MEYER PLC
DUNLOP,DUNLOP NIGERIA
ECOBANK,ECOBANK NIGERIA PLC
EKOCORP,EKOCORP PLC
ELLAHLAKES,ELLAH LAKES
ENAMELWA,NIGERIAN ENAMELWARE PLC
EQUITYASUR,EQUITY ASSURANCE PLC
ETERNA,ETERNA  PLC
ETI,ECOBANK TRANSNATIONAL INCORPORATED
ETRANZACT,E-TRANZACT INTERNATIONAL PLC
EVANSMED,EVANS MEDICAL PLC
FBNH,FBN HOLDINGS PLC
FCMB,FIRST CITY MONUMENT BANK
FERDINAND,FERDINAND OIL PLC
FIDELITYBK,FIDELITY BANK PLC
FIDSON,FIDSON HEALTHCARE PLC
FIRSTALUM,FIRST ALUMINIUM NIGERIA PLC
FIRSTINLND,FIRST INLAND BANK PLC
FLEXIBLE,FLEXIBLE PACKAGING PLC
FLOURMILL,FLOUR MILLS PLC
FO,FORTE OIL PLC
FOOTWEAR,FOOTWEAR & ACCESSORIES MAN. DIST. PLC
FOREMOST,FOREMOST DAIRIES PLC
FORTISMFB,FORTIS MICROFINANCE BANK PLC
FTNCOCOA,FTN COCOA PROCESSORS PLC
GCAPPA,G. CAPPA PLC
GLAXOSMITH,GLAXO SMITHKLINE CONSUMER NIG. PLC
GNI,GREAT NIGERIA INSURANCE PLC
GOLDBREW,GOLDBREW GUINEA BREWRIES PLC
GOLDINSURE,GOLDLINK INSURANCE PLC
GUARANTY,GUARANTY TRUST BANK
GUINEAINS,GUINEA INSURANCE PLC
GUINNESS,GUINNESS NIGERIA PLC
HALLMARK,HALLMARK PAPER PRODUCTS PLC
HMARKINS,CONSOLIDATED HALLMARK INSURANCE PLC
HONYFLOUR,HONEYWELL FLOUR MILL PLC
IAINSURE,INVESTMENT AND ALLIED ASSURANCE PLC
IBTC,IBTC CHARTERED BANK PLC
IHS,IHS PLC
IKEJAHOTEL,IKEJA HOTEL PLC
INCAR,INCAR NIGERIA
INTBREW,INTERNATIONAL BREWRIES PLC
INTENEGINS,INTERNATIONAL ENERGY INSURANCE COY PLC
INTERCONT,INTERCONTINENTAL BANK PLC
INTERLINK,INTERLINK TECHNOLOGIES PLC
IPWA,IPWA PLC
JAPAULOIL,JAPAUL OIL & MARINE SERVICES PLC
JBERGER,JULIUS BERGER PLC
JOHNHOLT,JOHNHOLT PLC
JOSBREW,JOS INTERNATIONAL BREWRIES PLC
JULI,JULI PLC
LASACO,LASACO INSURANCE PLC
LAWUNION,LAW UNION & ROCK INSURANCE (NIG.) PLC
LEARNAFRCA,LEARN AFRICA PLC
LENNARDS,LENNARDS NIGERIA PLC
LINKASSURE,LINKAGE ASSURANCE PLC
LIVESTOCK,LIVESTOCK FEEDS
LIZOLOFIN,LIZ-OLOFIN AND COMPANY PLC
MANDRID,P.S. MANDRID
MANSARD,MANSARD INSURANCE PLC
MAYBAKER,MAY & BAKER NIGERIA PLC
MBENEFT,MUTUAL BENEFIT ASSURANCE PLC
MCNICHOLS,MCNICHOLS PLC
MOBIL,MOBIL OIL NIG. PLC
MORISON,MORISON INDUSTRIES PLC
MRS,MRS OIL NIGERIA PLC
MTECH,MTECH COMMUNICATIONS PLC
MTI,MASS TELECOM INNOVATION NIGERIA PLC
MULTITREX,MULTI-TREX INTEGRATED FOODS PLC
MULTIVERSE,MULTIVERSE RESOURCES PLC
NAHCO,NATIONAL AVIATION HANDLING COMPANY PLC
NAMPAK,NAMPAK NIGERIA PLC
NASCON,NATIONAL SALT COMPANY PLC
NB,NIGERIAN BREWERIES PLC
NBC,NIGERIAN BOTTLING CO
NCR,AT & T GLOBAL INFORMATION SOLUTIONS PLC
NEIMETH,NEIMETH INTERNATIONAL PHARMACEUTICALS
NEM,N.E.M INSURANCE CO. PLC
NESF,NIGERIA ENERGY SECTOR FUND
NESTLE,NESTLE FOODS PLC
NEWGOLD,NEWGOLD EXCHANGE TRADED FUND
NEWPAK,NEWPAK PLC
NFINSURE,NFI INSURANCE PLC
NIDBFUND,NIGERIA INTERNATIONAL DEBT FUND PLC
NIG-GERMAN,NIGERIAN-GERMAN CHEMICALS PLC
NIGERCEM,THE NIGERIAN CEMENT
NIGERINS,NIGER INSURANCE CO. PLC
NIGROPES,NIGERIAN ROPES
NIGSEWING,"NIGERIAN SEWING MACHINE MAN, PLC"
NIWICABLE,NIGERIAN WIRE & CABLE
NNFM,NORTHERN NIGERIA FLOUR MILLS PLC
NPFMCRFBK,F MICRO FINANCE BANK PLC
NSLTECH,NATIONAL SPORTS LOTTERY PLC
OANDO,OANDO PLC
OASISINS,OASIS INSURANCE PLC
OCEANIC,OCEANIC BANK INTERNATIONAL
OKITIPUPA,OKITIPUPA OIL PALM
OKOMUOIL,THE OKOMU OIL PALM
OLUGLASS,OLUWA GLASS CO. PLC
OMATEK,OMATEK VENTURES PLC
ONDORT2012,OANDO RIGHTS ISSUE 2012
PAINTCOM,PAINTS AND COATINGS MANUFACTURES PLC
PHARMDEKO,PHAMA-DEKO PLC
PNG,PINNACLE POINT GROUP PLC
POLYPROD,POLY PRODUCTS NIGERIA PLC
PORTPAINT,PORTLAND PAINTS AND PRODUCTS NIG. PLC
PREMBREW,PREMIER BREWRIES PLC
PREMPAINTS,PREMIER PAINTS PLC
PRESCO,PRESCO PLC
PRESTIGE,PRESTIGE ASSURANCE CO. PLC
PZ,P.Z. INDUSTRIES PLC
RAKUNITY,RAK UNITY PETROLEUM PLC
REDSTAREX,RED STAR EXPRESS PLC
REGALINS,REGENCY ALLIANCE INSURANCE COMPANY PLC
RESORTSAL,RESORT SAVINGS AND LOANS PLC
RESOURCE,RESOURCERY PLC
ROADS,ROADS NIGERIA
ROKANA,ROKANA INDUSTRIES PLC
ROYALEX,ROYAL EXCHANGE ASSURANCE
RTBRISCOE,R.T BRISCOE NIGERIA
SCOA,SCOA NIGERIA PLC
SIMCAPVAL,SIM CAPITAL ALLIANCE VALUE FUND
SKYEBANK,SKYE BANK PLC
SKYESHELT,SKYE SHELTER FUND
SMURFIT,SMART PRODUCTS NIGERIA PLC
SOVRENINS,SOVEREIGN TRUST INSURANCE PLC
STACO,STANDARD TRUST ASSURANCE PLC
STANBIC,STANBIC IBTC HOLDINGS PLC
STARCOMMS,STARCOMMS PLC
STDINSURE,STANDARD ALLIANCE INSURANCE PLC
STERLNBANK,STERLING BANK PLC
STUDPRESS,"STUDIO,PRESS(NIG) PLC"
TANTALIZER,TANTALIZER PLC
THOMASWY,THOMAS WYATT PLC
TOTAL,TOTALFINAELF NIGERIA PLC
TOURIST,TOURIST COMPANY OF NIGERIA PLC
TRANSCORP,TRANSNATIONAL CORPORATION OF NIG PLC
TRANSEXPR,TRANS-NATIONWIDE EXPRESS PLC
TRIPPLEG,TRIPPLE GEE & CO PLC
TROPICPET,TROPICAL PETROLEUM PLC
UAC-PROP,UAC PROPERTY DEVELOPMENT CO. PLC
UACN,U A C NIGERIA PLC
UBA,UNITED BANK FOR AFRICA
UBCAP,UBA CAPITAL PLC
UBN,UNION BANK OF NIGERIA
UHOMREIT,UNION HOMES REAL ESTATE INVESTMENT TRUST
UNHOMES,UNION HOMES SAVINGS AND LOANS LTD
UNIC,UNIC INSURANCE PLC
UNILEVER,UNILEVER NIGERIA PLC
UNIONDAC,UNION DIAGNOSTIC & CLINICAL SERVICES PLC
UNIONDICON,UNION DICON SALT PLC
UNIONVENT,UNION VENTURES & PETROLEUM PLC
UNITYBNK,UNITY BANK PLC
UNITYKAP,UNITY KAPITAL ASSURANCE PLC
UNIVINSURE,UNIVERSAL INSURANCE COMPANY PLC
UNTL,UNITED NIGERIA TEXTILES PLC
UPL,UNIVERSITY PRESS PLC
UTC,UTC NIGERIA PLC
VANLEER,VAN LEER CONTAINERS (NIG) PLC
VITAFOAM,VITAFOAM NIGERIA PLC
VONO,VONO PRODUCTS PLC
WAGLASS,WEST AFRICAN GLASS INDUSTRIES PLC
WAPCO,WEST AFRICAN PORTLAND CEMENT
WAPIC,WEST AFRICAN PROVINCIAL INSURANCE PLC
WEMABANK,WEMA BANK
WTN,WTN PLC
ZENITHBANK,ZENITH INTERNATIONAL BANK PLC
